category,case_number
DRUG,CR-23-680231-A
DRUG,CR-23-680233-A
DRUG,CR-23-680236-A
DRUG,CR-23-680248-A
DRUG,CR-23-680270-A
DRUG,CR-23-680275-A
DRUG,CR-23-680287-A
DRUG,CR-23-680293-A
DRUG,CR-23-680294-A
DRUG,CR-23-680309-A
DRUG,CR-23-680312-A
DRUG,CR-23-680315-A
DRUG,CR-23-680332-A
DRUG,CR-23-680342-A
DRUG,CR-23-680344-A
DRUG,CR-23-680346-A
DRUG,CR-23-680348-A
DRUG,CR-23-680383-A
DRUG,CR-23-680384-A
DRUG,CR-23-680385-A
DRUG,CR-23-680397-A
DRUG,CR-23-680435-A
DRUG,CR-23-680446-A
DRUG,CR-23-680447-A
DRUG,CR-23-680454-A
DRUG,CR-23-680455-A
DRUG,CR-23-680456-A
DRUG,CR-23-680458-A
DRUG,CR-23-680466-A
DRUG,CR-23-680481-A
DRUG,CR-23-680484-A
DRUG,CR-23-680487-A
DRUG,CR-23-680490-A
DRUG,CR-23-680500-A
DRUG,CR-23-680501-A
DRUG,CR-23-680510-A
DRUG,CR-23-680513-A
DRUG,CR-23-680514-A
DRUG,CR-23-680515-A
DRUG,CR-23-680523-A
DRUG,CR-23-680527-A
DRUG,CR-23-680532-A
DRUG,CR-23-680540-A
DRUG,CR-23-680541-A
DRUG,CR-23-680545-A
DRUG,CR-23-680548-A
DRUG,CR-23-680554-A
DRUG,CR-23-680561-A
DRUG,CR-23-680570-A
DRUG,CR-23-680588-A
DRUG,CR-23-680597-A
DRUG,CR-23-680600-A
DRUG,CR-23-680604-A
DRUG,CR-23-680605-A
DRUG,CR-23-680606-A
DRUG,CR-23-680612-A
DRUG,CR-23-680631-A
DRUG,CR-23-680635-A
DRUG,CR-23-680646-A
DRUG,CR-23-680654-A
DRUG,CR-23-680661-A
DRUG,CR-23-680676-A
DRUG,CR-23-680678-A
DRUG,CR-23-680679-A
DRUG,CR-23-680686-A
DRUG,CR-23-680687-A
DRUG,CR-23-680688-A
DRUG,CR-23-680695-A
DRUG,CR-23-680696-A
DRUG,CR-23-680703-A
DRUG,CR-23-680715-A
DRUG,CR-23-680721-A
DRUG,CR-23-680734-A
DRUG,CR-23-680763-B
DRUG,CR-23-680768-A
DRUG,CR-23-680783-A
DRUG,CR-23-680786-A
DRUG,CR-23-680792-A
DRUG,CR-23-680805-A
DRUG,CR-23-680809-A
DRUG,CR-23-680811-A
DRUG,CR-23-680820-A
DRUG,CR-23-680830-A
DRUG,CR-23-680834-A
DRUG,CR-23-680835-A
DRUG,CR-23-680837-A
DRUG,CR-23-680845-A
DRUG,CR-23-680846-A
DRUG,CR-23-680853-A
DRUG,CR-23-680878-A
DRUG,CR-23-680889-A
DRUG,CR-23-680890-A
DRUG,CR-23-680909-A
DRUG,CR-23-680916-A
DRUG,CR-23-680921-A
DRUG,CR-23-680927-A
DRUG,CR-23-680930-A
DRUG,CR-23-680940-A
DRUG,CR-23-680944-A
DRUG,CR-23-680945-A
DRUG,CR-23-680946-A
DRUG,CR-23-680948-A
DRUG,CR-23-680956-A
DRUG,CR-23-680961-A
DRUG,CR-23-680965-A
DRUG,CR-23-680996-A
DRUG,CR-23-680997-A
DRUG,CR-23-681001-A
DRUG,CR-23-681004-A
DRUG,CR-23-681005-A
DRUG,CR-23-681017-A
DRUG,CR-23-681030-A
DRUG,CR-23-681032-A
DRUG,CR-23-681034-A
DRUG,CR-23-681043-A
DRUG,CR-23-681049-A
DRUG,CR-23-681052-A
DRUG,CR-23-681062-A
DRUG,CR-23-681065-A
DRUG,CR-23-681073-A
DRUG,CR-23-681081-A
DRUG,CR-23-681082-A
DRUG,CR-23-681084-A
DRUG,CR-23-681089-A
DRUG,CR-23-681090-A
DRUG,CR-23-681092-A
DRUG,CR-23-681096-A
DRUG,CR-23-681117-A
DRUG,CR-23-681122-A
DRUG,CR-23-681126-A
DRUG,CR-23-681129-A
DRUG,CR-23-681138-A
DRUG,CR-23-681142-A
DRUG,CR-23-681151-A
DRUG,CR-23-681153-A
DRUG,CR-23-681164-A
DRUG,CR-23-681167-A
DRUG,CR-23-681175-A
DRUG,CR-23-681201-A
DRUG,CR-23-681204-A
DRUG,CR-23-681205-A
DRUG,CR-23-681228-A
DRUG,CR-23-681236-A
DRUG,CR-23-681238-A
DRUG,CR-23-681239-A
DRUG,CR-23-681242-A
DRUG,CR-23-681248-A
DRUG,CR-23-681261-A
DRUG,CR-23-681265-A
DRUG,CR-23-681270-A
DRUG,CR-23-681281-A
DRUG,CR-23-681291-A
DRUG,CR-23-681293-A
DRUG,CR-23-681301-A
DRUG,CR-23-681319-A
DRUG,CR-23-681320-A
DRUG,CR-23-681322-A
DRUG,CR-23-681325-A
DRUG,CR-23-681328-A
DRUG,CR-23-681329-A
DRUG,CR-23-681360-A
DRUG,CR-23-681362-A
DRUG,CR-23-681363-A
DRUG,CR-23-681368-A
DRUG,CR-23-681371-A
DRUG,CR-23-681392-A
DRUG,CR-23-681400-A
DRUG,CR-23-681414-A
DRUG,CR-23-681415-A
DRUG,CR-23-681428-A
DRUG,CR-23-681431-A
DRUG,CR-23-681432-A
DRUG,CR-23-681433-A
DRUG,CR-23-681437-A
DRUG,CR-23-681438-A
DRUG,CR-23-681440-A
DRUG,CR-23-681442-A
DRUG,CR-23-681443-A
DRUG,CR-23-681451-A
DRUG,CR-23-681452-A
DRUG,CR-23-681461-A
DRUG,CR-23-681476-A
DRUG,CR-23-681481-A
DRUG,CR-23-681483-A
DRUG,CR-23-681489-A
DRUG,CR-23-681493-A
DRUG,CR-23-681498-A
DRUG,CR-23-681503-A
DRUG,CR-23-681507-A
DRUG,CR-23-681514-A
DRUG,CR-23-681516-A
DRUG,CR-23-681534-A
DRUG,CR-23-681535-A
DRUG,CR-23-681537-A
DRUG,CR-23-681539-A
DRUG,CR-23-681540-A
DRUG,CR-23-681547-A
DRUG,CR-23-681555-A
DRUG,CR-23-681559-A
DRUG,CR-23-681606-A
DRUG,CR-23-681607-A
DRUG,CR-23-681629-A
DRUG,CR-23-681646-A
DRUG,CR-23-681648-A
DRUG,CR-23-681659-A
DRUG,CR-23-681661-A
DRUG,CR-23-681663-A
DRUG,CR-23-681672-A
DRUG,CR-23-681690-A
DRUG,CR-23-681713-A
DRUG,CR-23-681717-A
DRUG,CR-23-681724-A
DRUG,CR-23-681734-A
DRUG,CR-23-681737-A
DRUG,CR-23-681802-A
DRUG,CR-23-681803-A
DRUG,CR-23-681830-A
DRUG,CR-23-681832-A
DRUG,CR-23-681833-A
DRUG,CR-23-681836-A
DRUG,CR-23-681845-A
DRUG,CR-23-681846-A
DRUG,CR-23-681857-A
DRUG,CR-23-681860-A
DRUG,CR-23-681865-A
DRUG,CR-23-681870-A
DRUG,CR-23-681872-A
DRUG,CR-23-681880-A
DRUG,CR-23-681881-A
DRUG,CR-23-681887-A
DRUG,CR-23-681891-A
DRUG,CR-23-681897-A
DRUG,CR-23-681902-A
DRUG,CR-23-681917-A
DRUG,CR-23-681922-A
DRUG,CR-23-681923-A
DRUG,CR-23-681925-A
DRUG,CR-23-681926-A
DRUG,CR-23-681932-A
DRUG,CR-23-681936-A
DRUG,CR-23-681938-A
DRUG,CR-23-681940-A
DRUG,CR-23-681941-A
DRUG,CR-23-681942-A
DRUG,CR-23-681951-A
DRUG,CR-23-681953-B
DRUG,CR-23-681958-A
DRUG,CR-23-681972-A
DRUG,CR-23-681993-A
DRUG,CR-23-681994-A
DRUG,CR-23-681998-A
DRUG,CR-23-682003-A
DRUG,CR-23-682010-A
DRUG,CR-23-682022-A
DRUG,CR-23-682036-A
DRUG,CR-23-682037-A
DRUG,CR-23-682038-A
DRUG,CR-23-682053-A
DRUG,CR-23-682054-A
DRUG,CR-23-682055-A
DRUG,CR-23-682056-A
DRUG,CR-23-682057-A
DRUG,CR-23-682058-A
DRUG,CR-23-682062-A
DRUG,CR-23-682063-A
DRUG,CR-23-682078-A
DRUG,CR-23-682084-A
DRUG,CR-23-682088-A
DRUG,CR-23-682104-A
DRUG,CR-23-682105-A
DRUG,CR-23-682108-A
DRUG,CR-23-682118-A
DRUG,CR-23-682121-A
DRUG,CR-23-682134-A
DRUG,CR-23-682159-A
DRUG,CR-23-682161-A
DRUG,CR-23-682162-A
DRUG,CR-23-682163-A
DRUG,CR-23-682164-A
DRUG,CR-23-682170-A
DRUG,CR-23-682171-A
DRUG,CR-23-682172-A
DRUG,CR-23-682178-A
DRUG,CR-23-682199-A
DRUG,CR-23-682202-A
DRUG,CR-23-682219-A
DRUG,CR-23-682221-A
DRUG,CR-23-682245-A
DRUG,CR-23-682246-A
DRUG,CR-23-682247-A
DRUG,CR-23-682258-A
DRUG,CR-23-682263-A
DRUG,CR-23-682268-A
DRUG,CR-23-682269-A
DRUG,CR-23-682272-A
DRUG,CR-23-682275-A
DRUG,CR-23-682276-A
DRUG,CR-23-682277-A
DRUG,CR-23-682281-A
DRUG,CR-23-682285-A
DRUG,CR-23-682300-A
DRUG,CR-23-682304-A
DRUG,CR-23-682307-A
DRUG,CR-23-682311-A
DRUG,CR-23-682312-A
DRUG,CR-23-682343-A
DRUG,CR-23-682344-A
DRUG,CR-23-682348-A
DRUG,CR-23-682370-A
DRUG,CR-23-682373-A
DRUG,CR-23-682375-A
DRUG,CR-23-682393-A
DRUG,CR-23-682397-A
DRUG,CR-23-682407-A
DRUG,CR-23-682417-A
DRUG,CR-23-682442-A
DRUG,CR-23-682447-A
DRUG,CR-23-682458-A
DRUG,CR-23-682459-A
DRUG,CR-23-682460-A
DRUG,CR-23-682463-A
DRUG,CR-23-682477-A
DRUG,CR-23-682482-A
DRUG,CR-23-682486-A
DRUG,CR-23-682489-A
DRUG,CR-23-682510-A
DRUG,CR-23-682513-A
DRUG,CR-23-682519-A
DRUG,CR-23-682522-A
DRUG,CR-23-682523-A
DRUG,CR-23-682525-A
DRUG,CR-23-682532-B
DRUG,CR-23-682534-A
DRUG,CR-23-682537-A
DRUG,CR-23-682538-A
DRUG,CR-23-682543-A
DRUG,CR-23-682544-A
DRUG,CR-23-682547-A
DRUG,CR-23-682566-A
DRUG,CR-23-682586-A
DRUG,CR-23-682621-A
DRUG,CR-23-682631-A
DRUG,CR-23-682660-A
DRUG,CR-23-682661-A
DRUG,CR-23-682674-A
DRUG,CR-23-682685-A
DRUG,CR-23-682702-A
DRUG,CR-23-682703-A
DRUG,CR-23-682715-A
DRUG,CR-23-682718-A
DRUG,CR-23-682719-A
DRUG,CR-23-682720-A
DRUG,CR-23-682725-A
DRUG,CR-23-682731-A
DRUG,CR-23-682739-A
DRUG,CR-23-682741-A
DRUG,CR-23-682746-A
DRUG,CR-23-682747-A
DRUG,CR-23-682748-A
DRUG,CR-23-682749-A
DRUG,CR-23-682750-A
DRUG,CR-23-682765-A
DRUG,CR-23-682768-A
DRUG,CR-23-682788-A
DRUG,CR-23-682797-A
DRUG,CR-23-682800-A
DRUG,CR-23-682805-A
DRUG,CR-23-682813-A
DRUG,CR-23-682815-A
DRUG,CR-23-682824-A
DRUG,CR-23-682830-A
DRUG,CR-23-682836-A
DRUG,CR-23-682844-A
DRUG,CR-23-682848-A
DRUG,CR-23-682849-A
DRUG,CR-23-682850-A
DRUG,CR-23-682852-A
DRUG,CR-23-682865-A
DRUG,CR-23-682870-A
DRUG,CR-23-682883-A
DRUG,CR-23-682885-A
DRUG,CR-23-682919-A
DRUG,CR-23-682921-A
DRUG,CR-23-682928-A
DRUG,CR-23-682936-A
DRUG,CR-23-682938-A
DRUG,CR-23-682943-A
DRUG,CR-23-682946-A
DRUG,CR-23-682970-A
DRUG,CR-23-682975-A
DRUG,CR-23-682978-A
DRUG,CR-23-682986-A
DRUG,CR-23-682991-A
DRUG,CR-23-682996-A
DRUG,CR-23-682998-A
DRUG,CR-23-683010-A
DRUG,CR-23-683014-A
DRUG,CR-23-683039-A
DRUG,CR-23-683049-A
DRUG,CR-23-683056-A
DRUG,CR-23-683057-A
DRUG,CR-23-683062-A
DRUG,CR-23-683075-A
DRUG,CR-23-683078-A
DRUG,CR-23-683100-A
DRUG,CR-23-683101-A
DRUG,CR-23-683103-A
DRUG,CR-23-683107-A
DRUG,CR-23-683119-A
DRUG,CR-23-683136-A
DRUG,CR-23-683144-A
DRUG,CR-23-683145-A
