participant,cases,wins,losses
ADAM M VAN HO,1,0,0
ALAN H KRAUS,1,0,0
ALLEN C. HUFFORD,1,0,1
ANDREW J WIDES,1,0,0
ANDREW ORTNER,1,0,0
ANGELA THI BENNETT,1,1,0
ANNE D VENEZIANO,1,1,0
ANTHONY BAKER,1,0,0
ANTHONY C. NICHOLSON,1,0,0
ANTHONY J BONDRA,1,0,0
ANTHONY T MALLOY,1,0,0
BERT L ROSE,1,1,0
BRANDON POKERSNIK,1,0,0
BRIAN W SHARKIN,1,0,0
CHARLES A SWANSON,1,0,0
CHARLYN BOHLAND,1,0,0
CHRISTINA BRUECK,1,0,0
CHRISTINA F LONDRICO,1,0,0
CHRISTOPHER G. THOMARIOS,1,1,0
CHRISTOPHER J MOORE,1,0,0
CHRISTOPHER PIAZZA,1,0,0
CHRISTOPHER W ROBERSON,1,0,0
CONNOR MARTENS,1,0,0
CORY HINTON,1,1,0
D. COLEMAN BOND,1,0,0
DANIEL P LANG,1,0,0
DAVID C SHELDON,1,1,0
DEAN M VALORE,1,0,0
DONALD S TITTLE,1,0,0
DOUGLAS W MERRILL,1,0,0
EDWARD O PALM,1,0,0
ERIC C NEMECEK,1,0,0
ERIC F. LONG,1,0,1
ERIN R FLANAGAN,1,0,0
FAITH EDWARDS,1,0,0
FRANK CAVALLO,1,0,0
GINO PULITO,1,1,0
GREGORY A GENTILE,1,0,0
GREGORY SCOTT ROBEY,1,0,0
HANNAH MAHAFFEY,1,0,0
HANS C KUENZI,1,1,0
HUGH D MCDANIEL III,1,0,0
ISSAC TOM MONAH,1,0,0
J DAVID INGERSOLL,1,0,0
J. REID YODER,1,0,0
JACK S MALKIN,1,0,0
JAIME P. SERRAT,1,0,0
JAMES E TAVENS,1,0,0
JAMES R WISE,1,0,0
JAMES W REARDON,1,0,0
JASON DAVIDOFF,1,0,0
JASON HARLESS,1,0,0
JEFFREY FROUDE,1,0,1
JOHN A SIVINSKI,1,0,0
JOHN D ZALIC,1,1,0
JOHN J. SPELLACY,1,0,0
JOHN KOPASAKIS,1,0,0
JOHN L LEMIEUX,1,0,0
JOHN P. BACEVICE,1,0,0
JOHN S SALEM,1,1,0
JOHN T. MARTIN,1,0,0
JOSEPH A DUBYAK,1,0,0
JOSEPH A KOCHIS,1,0,0
JOSEPH B ROSE III,1,0,0
JOSEPH F RUSSO,1,1,0
JOSEPH GRANDINETTI,1,0,0
JUSTIN C HASKAMP,1,0,0
KELLEY R. TAURING,1,1,0
KELLY ZACHARIAS,1,0,0
KENNETH D MYERS,1,0,0
KIRK A MCVAY,1,0,0
LARRY W ZUKERMAN,1,0,0
LESLIE S. JOHNSON,1,1,0
LON'CHERIE' BILLINGSLEY,1,0,0
LOUIS E. GRUBE,1,0,0
LYDIA E SPRAGIN,1,0,0
MARK A KAISER,1,0,0
MARK D MCGRAW,1,1,0
MARK R MAJER,1,0,0
MARY ELAINE HALL,1,0,0
MARY JO HANSON,1,0,0
MATTHEW A. MISHAK,1,0,0
MATTHEW O WILLIAMS,1,0,0
MELANIE F. WOMER,1,1,0
MICHAEL A HELLER,1,0,0
MICHAEL A KENNY,1,0,0
MICHAEL HUSTICK,1,0,0
MICHAEL J O'SHEA,1,0,0
MICHAEL P DUNHAM,1,0,0
MICHAEL P MALONEY,1,0,0
MICHAEL STEPANIK,1,1,0
MICHAEL T FISHER,1,0,0
MICHAEL T JUDY,1,0,0
MICHAEL V. WILHELM,1,1,0
MICHAELLA POLVERINI,1,0,0
PATRICIA L WINFIELD,1,0,0
"PATRICK P LENEGHAN, JR.",1,0,0
PAUL B DAIKER,1,0,0
PAUL E. MEYER,1,0,0
PAUL M FRIEDMAN,1,0,0
PERRY M. KENDALL JR.,1,0,0
RAYMOND J. COATOAM,1,0,0
REGIS E MCGANN,1,0,0
RICHARD A. NEFF,1,0,0
RICHARD D MCCLURE,1,0,0
RICHARD E HACKERD,1,0,0
RICHARD H. BLAKE,1,1,0
RICHARD J PEREZ,1,1,0
ROBERT CAMPBELL,1,0,0
ROBERT E DAVIS,1,0,0
ROCHELLE M LICATA,1,0,0
RONALD A ANNOTICO,1,1,0
RONALD E FALCONI,1,0,0
RONALD J O'LEARY,1,0,0
RONALD S SPEARS,1,0,1
"ROSEL C. HURLEY, III",1,0,0
RYAN HADDOX,1,0,0
SAM A ZINGALE,1,0,0
SAM THOMAS,1,1,0
SAMUEL W BASTA,1,1,0
SEAN DRAKE,1,0,0
SOPHIA ROSE WADE HULEN,1,0,0
STEPHEN G ALBENZE,1,0,0
SUZANNE K HORRIGAN,1,0,1
THOMAS D. CORRIGAN,1,0,0
THOMAS G DEFRANCO,1,0,0
THOMAS G KELLEY,1,0,0
THOMAS J KRAUS,1,0,0
TIFFANY A HILL,1,0,0
TIMOTHY F SWEENEY,1,0,0
WALTER A LUCAS,1,0,0
WESLEY ALTON JOHNSTON,1,0,0
WILLIAM E MOONEY,1,0,1
WILLIAM J MOONEY,1,0,0
