case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2025-702084,2025-702084_20251120_232532.json,2025-702084_20251120_232532.json,3,3,0,"2911.211.(A)(1) | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-703217,2025-703217_20251121_024651.json,2025-703217_20251121_024651.json,2,2,0,"2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-686761,2023-686761_20251111_134539.json,2023-686761_20251111_134539.json,4,4,0,
2023-681701,2023-681701_20251117_123825.json,2023-681701_20251117_123825.json,3,3,0,"2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695419,2024-695419_20251119_222705.json,2024-695419_20251119_222705.json,4,4,0,"2909.05.B(1)(B) | 2909.05.B(1)(A) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-694763,2024-694763_20251119_204713.json,2024-694763_20251119_204713.json,2,2,0,"2909.02.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-691253,2024-691253_20251119_120807.json,2024-691253_20251119_120807.json,3,3,0,"2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689065,2024-689065_20251119_061618.json,2024-689065_20251119_061618.json,5,5,0,"2911.12.B | 2903.13.A | 2921.33.B | 2921.13.A(03) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687813,2023-687813_20251119_021646.json,2023-687813_20251119_021646.json,4,4,0,"2911.02.A(2) | 2911.02.A(3) | 2913.02.A(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677651,2023-677651_20251116_110216.json,2023-677651_20251116_110216.json,5,5,0,"2909.05.B(1)(A) | 2909.03.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-680161,2023-680161_20251110_142740.json,2023-680161_20251110_142740.json,8,8,0,
2023-678655,2023-678655_20251116_193312.json,2023-678655_20251116_193312.json,6,6,0,"2925.11.A | 2925.11.A | 2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692341,2024-692341_20251119_144539.json,2024-692341_20251119_144539.json,3,3,0,"2903.13.A | 2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-688663,2024-688663_20251119_044559.json,2024-688663_20251119_044559.json,3,3,0,"2903.11.A(2) | 2923.13.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
