case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2023-678707,2023-678707_20251116_195941.json,2023-678707_20251116_195941.json,5,5,0,"2911.211.(A)(1) | 2909.04.A(3) | 2903.13.A | 2909.06.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-686700,2023-686700_20251111_134155.json,2023-686700_20251111_134155.json,3,3,0,
2023-679277,2023-679277_20251110_192530.json,2023-679277_20251110_192530.json,3,3,0,
2023-681627,2023-681627_20251117_122839.json,2023-681627_20251117_122839.json,3,3,0,"2903.11.A(1) | 2919.25.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-686526,2023-686526_20251118_221040.json,2023-686526_20251118_221040.json,5,5,0,"2903.08.A(1)(A) | 2903.08.A(2)(B) | 4511.19.A(1)(A) | 4511.19.A(1)(G) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685246,2023-685246_20251111_113647.json,2023-685246_20251111_113647.json,3,3,0,
2023-681957,2023-681957_20251117_133048.json,2023-681957_20251117_133048.json,4,4,0,"2911.02.A(3) | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682535,2023-682535_20251117_151050.json,2023-682535_20251117_151050.json,3,3,0,"2923.12.A(2) | 2903.21.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687105,2023-687105_20251111_141534.json,2023-687105_20251111_141534.json,3,3,0,
2023-684517,2023-684517_20251118_162252.json,2023-684517_20251118_162252.json,10,10,0,2921.331.B | 2921.331.B | 2925.03.A(2) | 2925.11.A | 2925.03.A(2)
2023-686339,2023-686339_20251111_130701.json,2023-686339_20251111_130701.json,3,3,0,
2023-678825,2023-678825_20251116_205638.json,2023-678825_20251116_205638.json,2,2,0,"2913.51.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679802,2023-679802_20251110_201925.json,2023-679802_20251110_201925.json,3,3,0,
2023-682183,2023-682183_20251111_070756.json,2023-682183_20251111_070756.json,3,3,0,
2023-678744,2023-678744_20251116_201725.json,2023-678744_20251116_201725.json,3,3,0,"2913.21.B(2) | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678513,2023-678513_20251116_182201.json,2023-678513_20251116_182201.json,3,3,0,"2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685571,2023-685571_20251111_120213.json,2023-685571_20251111_120213.json,4,4,0,
2023-681328,2023-681328_20251111_055058.json,2023-681328_20251111_055058.json,3,3,0,
2023-681972,2023-681972_20251110_162622.json,2023-681972_20251110_162622.json,3,3,0,
2023-686005,2023-686005_20251118_203548.json,2023-686005_20251118_203548.json,2,2,0,"2903.11.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-686304,2023-686304_20251118_213131.json,2023-686304_20251118_213131.json,3,3,0,"2903.18.(B)(2) | 2903.18.(B)(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-681514,2023-681514_20251112_164417.json,2023-681514_20251112_164417.json,3,3,0,
2023-685135,2023-685135_20251118_175656.json,2023-685135_20251118_175656.json,2,2,0,"2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678372,2023-678372_20251116_171330.json,2023-678372_20251116_171330.json,5,5,0,"2911.11.A(1) | 2911.11.A(2) | 2911.12.B | 2903.13.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677748,2023-677748_20251116_115342.json,2023-677748_20251116_115342.json,4,4,0,"2923.13.A(2) | 2923.12.A(2) | 2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-683959,2023-683959_20251111_093842.json,2023-683959_20251111_093842.json,3,3,0,
2023-682839,2023-682839_20251111_075858.json,2023-682839_20251111_075858.json,3,3,0,
2023-677751,2023-677751_20251116_115531.json,2023-677751_20251116_115531.json,2,2,0,"2913.51.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682628,2023-682628_20251111_074133.json,2023-682628_20251111_074133.json,3,3,0,
2023-685563,2023-685563_20251111_120155.json,2023-685563_20251111_120155.json,3,3,0,
2023-679952,2023-679952_20251117_085036.json,2023-679952_20251117_085036.json,2,2,0,"2907.05.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-677572,2023-677572_20251116_102054.json,2023-677572_20251116_102054.json,4,4,0,"2911.13.A | 2913.02.A(1) | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685209,2023-685209_20251111_113337.json,2023-685209_20251111_113337.json,3,3,0,
2023-682307,2023-682307_20251117_142540.json,2023-682307_20251117_142540.json,5,5,0,"2925.11.A | 2925.11.A | 2923.12.(A)(2) | 2923.16.B | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682742,2023-682742_20251118_112603.json,2023-682742_20251118_112603.json,2,2,0,"2923.13.A(3) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685656,2023-685656_20251118_193317.json,2023-685656_20251118_193317.json,3,3,0,"2911.12.B | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679918,2023-679918_20251110_203001.json,2023-679918_20251110_203001.json,3,3,0,
2023-685263,2023-685263_20251111_113759.json,2023-685263_20251111_113759.json,3,3,0,
2023-683558,2023-683558_20251116_074512.json,2023-683558_20251116_074512.json,2,2,0,"2921.331.B | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682430,2023-682430_20251117_144646.json,2023-682430_20251117_144646.json,2,2,0,"2919.21.(B)(1)(A) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679056,2023-679056_20251110_190902.json,2023-679056_20251110_190902.json,3,3,0,
2023-685663,2023-685663_20251118_193637.json,2023-685663_20251118_193637.json,32,32,0,2907.323.A(1) | 2907.323.A(1) | 2907.322.A(1) | 2907.322.A(1) | 2907.322.A(1)
2023-680145,2023-680145_20251110_142506.json,2023-680145_20251110_142506.json,3,3,0,
2023-687320,2023-687320_20251119_004216.json,2023-687320_20251119_004216.json,3,3,0,"2921.12.A(1) | 2925.11.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-683470,2023-683470_20251111_090041.json,2023-683470_20251111_090041.json,3,3,0,
2023-682335,2023-682335_20251111_072226.json,2023-682335_20251111_072226.json,3,3,0,
2023-686586,2023-686586_20251118_222555.json,2023-686586_20251118_222555.json,2,2,0,"2950.05.F(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685236,2023-685236_20251118_181930.json,2023-685236_20251118_181930.json,3,3,0,"2911.02.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678270,2023-678270_20251116_164007.json,2023-678270_20251116_164007.json,9,9,0,2911.01.A(1) | 2911.02.A(1) | 2911.02.A(2) | 2911.02.A(3) | 2923.13.A(2)
2023-682377,2023-682377_20251117_144110.json,2023-682377_20251117_144110.json,3,3,0,"2913.02.A(1) | 2913.02.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
