case_id,latest_file,deletable_count_or_reason,mutated_count_or_details
CR-23-683067-A,out/2023/2023-683067_20251118_122951.json,[],"[('out/2023/2023-683067_20251111_081956.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T08:19:56.308468+00:00"" -> ""2025-11-18T12:29:51.385968+00:00""'), ('out/2023/2023-683067_20251118_122739.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T12:27:39.463588+00:00"" -> ""2025-11-18T12:29:51.385968+00:00""')]"
CR-23-677841-A,out/2023/2023-677841_20251116_125537.json,[],"[('out/2023/2023-677841_20251110_172017.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:20:17.004954+00:00"" -> ""2025-11-16T12:55:37.652972+00:00""')]"
CR-23-685799-A,out/2023/2023-685799_20251118_200035.json,[],"[('out/2023/2023-685799_20251111_121927.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T12:19:27.226059+00:00"" -> ""2025-11-18T20:00:35.042633+00:00""')]"
CR-23-683159-A,out/2023/2023-683159_20251118_124041.json,[],"[('out/2023/2023-683159_20251111_083049.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T08:30:49.843344+00:00"" -> ""2025-11-18T12:40:41.485709+00:00""')]"
CR-23-686971-A,out/2023/2023-686971_20251111_140209.json,[],"[('out/2023/2023-686971_20251111_135907.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:59:07.206312+00:00"" -> ""2025-11-11T14:02:09.920172+00:00""')]"
CR-23-682734-A,out/2023/2023-682734_20251118_112556.json,[],"[('out/2023/2023-682734_20251118_112019.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T11:20:19.157998+00:00"" -> ""2025-11-18T11:25:56.356129+00:00""')]"
CR-23-679760-A,out/2023/2023-679760_20251110_201423.json,[],"[('out/2023/2023-679760_20251110_140753.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T14:07:53.623443+00:00"" -> ""2025-11-10T20:14:23.134553+00:00""')]"
CR-23-686360-A,out/2023/2023-686360_20251118_214256.json,[],"[('out/2023/2023-686360_20251111_131021.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:10:21.547161+00:00"" -> ""2025-11-18T21:42:56.419693+00:00""')]"
CR-23-677727-A,out/2023/2023-677727_20251116_113934.json,[],"[('out/2023/2023-677727_20251110_124514.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T12:45:14.237390+00:00"" -> ""2025-11-16T11:39:34.120328+00:00""'), ('out/2023/2023-677727_20251116_113907.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T11:39:07.316045+00:00"" -> ""2025-11-16T11:39:34.120328+00:00""')]"
CR-23-684815-A,out/2023/2023-684815_20251118_170153.json,[],"[('out/2023/2023-684815_20251110_011817.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T01:18:17.925250+00:00"" -> ""2025-11-18T17:01:53.525549+00:00""')]"
CR-23-681660-A,out/2023/2023-681660_20251117_123412.json,[],"[('out/2023/2023-681660_20251110_160227.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T16:02:27.409319+00:00"" -> ""2025-11-17T12:34:12.582106+00:00""')]"
CR-23-687243-A,out/2023/2023-687243_20251119_002035.json,[],"[('out/2023/2023-687243_20251111_142802.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:28:02.380955+00:00"" -> ""2025-11-19T00:20:35.085264+00:00""')]"
CR-23-679368-A,out/2023/2023-679368_20251117_071904.json,[],"[('out/2023/2023-679368_20251110_193325.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T19:33:25.472001+00:00"" -> ""2025-11-17T07:19:04.653620+00:00""')]"
CR-23-678589-A,out/2023/2023-678589_20251116_190419.json,[],"[('out/2023/2023-678589_20251110_183143.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:31:43.528758+00:00"" -> ""2025-11-16T19:04:19.917226+00:00""')]"
CR-23-678542-A,out/2023/2023-678542_20251116_184056.json,[],"[('out/2023/2023-678542_20251110_182549.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:25:49.880336+00:00"" -> ""2025-11-16T18:40:56.520630+00:00""')]"
CR-23-684224-A,out/2023/2023-684224_20251118_152928.json,[],"[('out/2023/2023-684224_20251111_100615.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T10:06:15.717928+00:00"" -> ""2025-11-18T15:29:28.775958+00:00""')]"
CR-23-678842-A,out/2023/2023-678842_20251116_210657.json,[],"[('out/2023/2023-678842_20251110_185201.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:52:01.601542+00:00"" -> ""2025-11-16T21:06:57.174541+00:00""')]"
CR-23-684925-A,out/2023/2023-684925_20251111_110655.json,[],"[('out/2023/2023-684925_20251109_210821.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-09T21:08:21.629021+00:00"" -> ""2025-11-11T11:06:55.028723+00:00""')]"
CR-23-679862-A,out/2023/2023-679862_20251117_083531.json,[],"[('out/2023/2023-679862_20251110_141631.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T14:16:31.401312+00:00"" -> ""2025-11-17T08:35:31.110298+00:00""'), ('out/2023/2023-679862_20251110_202408.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T20:24:08.668515+00:00"" -> ""2025-11-17T08:35:31.110298+00:00""')]"
CR-23-678701-A,out/2023/2023-678701_20251116_195504.json,[],"[('out/2023/2023-678701_20251116_195437.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T19:54:37.925371+00:00"" -> ""2025-11-16T19:55:04.962523+00:00""')]"
CR-23-680854-A,out/2023/2023-680854_20251117_103944.json,[],"[('out/2023/2023-680854_20251110_151004.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:10:04.260664+00:00"" -> ""2025-11-17T10:39:45.003107+00:00""'), ('out/2023/2023-680854_20251117_103722.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-17T10:37:22.901458+00:00"" -> ""2025-11-17T10:39:45.003107+00:00""')]"
CR-23-680712-A,out/2023/2023-680712_20251111_050232.json,[],"[('out/2023/2023-680712_20251110_145926.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T14:59:26.125414+00:00"" -> ""2025-11-11T05:02:32.267487+00:00""')]"
CR-23-680240-A,out/2023/2023-680240_20251111_012320.json,[],"[('out/2023/2023-680240_20251111_010549.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T01:05:49.324368+00:00"" -> ""2025-11-11T01:23:20.124680+00:00""')]"
CR-23-686080-A,out/2023/2023-686080_20251118_205119.json,[],"[('out/2023/2023-686080_20251111_124432.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T12:44:32.219178+00:00"" -> ""2025-11-18T20:51:19.240227+00:00""')]"
CR-23-678299-A,out/2023/2023-678299_20251116_165148.json,[],"[('out/2023/2023-678299_20251110_180205.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:02:05.392173+00:00"" -> ""2025-11-16T16:51:48.671733+00:00""')]"
CR-23-678113-A,out/2023/2023-678113_20251116_153428.json,[],"[('out/2023/2023-678113_20251110_174759.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:47:59.202196+00:00"" -> ""2025-11-16T15:34:28.476944+00:00""')]"
CR-23-677557-A,out/2023/2023-677557_20251116_101055.json,[],"[('out/2023/2023-677557_20251110_165640.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T16:56:40.532179+00:00"" -> ""2025-11-16T10:10:55.137441+00:00""')]"
CR-23-680280-A,out/2023/2023-680280_20251117_091830.json,[],"[('out/2023/2023-680280_20251111_035909.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T03:59:09.411083+00:00"" -> ""2025-11-17T09:18:30.105565+00:00""')]"
CR-23-678533-A,out/2023/2023-678533_20251116_183528.json,[],"[('out/2023/2023-678533_20251110_182447.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:24:47.497942+00:00"" -> ""2025-11-16T18:35:28.984190+00:00""')]"
CR-23-682906-A,out/2023/2023-682906_20251118_115810.json,[],"[('out/2023/2023-682906_20251111_080529.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T08:05:29.690039+00:00"" -> ""2025-11-18T11:58:10.986892+00:00""')]"
CR-23-681089-A,out/2023/2023-681089_20251111_053150.json,[],"[('out/2023/2023-681089_20251110_152752.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:27:52.765489+00:00"" -> ""2025-11-11T05:31:50.777465+00:00""')]"
CR-23-680515-A,out/2023/2023-680515_20251117_095113.json,[],"[('out/2023/2023-680515_20251110_144819.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T14:48:19.746501+00:00"" -> ""2025-11-17T09:51:13.253402+00:00""')]"
CR-23-686352-A,out/2023/2023-686352_20251118_214142.json,[],"[('out/2023/2023-686352_20251111_130720.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:07:20.836161+00:00"" -> ""2025-11-18T21:41:42.775341+00:00""')]"
