Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
THOMAS G DEFRANCO,1,3,0,1,1,20.00%
MARY JO HANSON,2,4,1,3,4,33.33%
JOHN A POWERS,19,17,0,9,50,11.84%
DONALD  BUTLER,20,29,0,24,32,28.24%
DAVID C SHELDON,1,0,0,6,2,75.00%
JAMES R WISE,1,1,0,0,1,0.00%
PABLO A CASTRO,28,28,0,38,52,32.20%
CHRISTOPHER A GODINSKY,26,29,0,21,68,17.80%
RACHELLE M. SMITH,3,3,0,4,4,36.36%
JUSTIN  WEATHERLY,11,16,1,25,21,41.27%
GEORGE E. KENNETT,3,3,0,4,3,40.00%
DEANGELO  LITTLE,57,60,0,66,121,26.72%
PATRICK  DICHIRO,3,17,0,13,4,38.24%
MICHAEL  STEPANIK,3,1,0,2,7,20.00%
DONALD C WILLIAMS,12,9,0,13,24,28.26%
JAMES M KERSEY,8,12,0,14,18,31.82%
FRANK  CAVALLO,4,3,0,10,5,55.56%
LISA M RANKIN,5,13,0,6,9,21.43%
RUFUS  SIMS,15,28,0,17,25,24.29%
HARVEY B BRUNER,12,14,0,10,35,16.95%
WESLEY A DUMAS,27,28,0,28,71,22.05%
SARAH  HONIG KHOURI,11,11,0,15,33,25.42%
JAMES P KOSCIANSKI,8,13,0,25,12,50.00%
SAM  THOMAS,3,2,0,6,4,50.00%
FRED D MIDDLETON,7,3,0,3,21,11.11%
ANDY  PETROPOULEAS,31,44,1,62,71,35.39%
JOHN J READY,2,2,0,3,2,42.86%
PERRY M. KENDALL JR.,4,6,0,7,9,31.82%
JAMES A HOFELICH,2,3,0,0,3,0.00%
NICHOLAS G HADDAD,29,31,0,26,54,23.42%
CHRISTOPHER J MOORE,1,2,0,2,1,40.00%
VINCENT I. PACETTI,11,12,0,17,16,37.78%
GINA M CRAWFORD,9,7,0,4,20,12.90%
MEGAN  WALSH,6,3,0,2,22,7.41%
KYLE  DILLON,40,46,0,39,89,22.41%
CHRISTOPHER W ROBERSON,2,4,0,3,3,30.00%
RUSSELL S BENSING,1,1,0,0,2,0.00%
CATHERINE  MEEHAN,10,13,1,18,45,24.68%
JAMES H BANKS,1,1,0,1,1,33.33%
PAUL  KUZMINS,16,24,1,39,33,41.24%
AARON J. BROCKLER,25,37,0,31,66,23.13%
CHRISTOPHER G. THOMARIOS,2,3,0,6,2,54.55%
LIAM P. BYRNE,18,22,0,17,40,21.52%
JOSEPH A PFUNDSTEIN,4,3,0,3,5,27.27%
J DAVID  INGERSOLL,3,4,0,2,11,11.76%
LINDA  HRICKO,21,21,1,29,51,29.41%
EDWIN J VARGAS,12,21,0,23,19,36.51%
BRIAN W SHARKIN,1,3,0,0,1,0.00%
ALLISON S BRENEMAN,37,42,3,28,101,17.82%
TIFFANY A HILL,1,2,0,1,1,25.00%
ERIKA B. CUNLIFFE,16,34,5,22,30,29.67%
SUSAN J MORAN,46,75,2,70,87,30.77%
