case_number,source_file,charges,events,likely_felony,reason
CR-23-678148-A,2023_cases_comprehensive.csv,"INDICT,2913.02.A(1),GRAND THEFT,  | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,  | INDICT,4549.02.A(1),STOPPING AFTER ACCIDENT; EXCHANGE OF IDENTITYAND VEHICLE REG","04/19/2023,INTERVENTION IN LIEU OF CONVICTION | 03/15/2023,PRETRIAL HELD | 02/27/2023,PRETRIAL HELD | 02/09/2023,INDICTED BINDOVER | 02/01/2023,FIRST APPEARANCE | 01/31/2023,CPD EDC SET | 01/27/2023,BINDOVER CIF#CI234730BQ | 01/26/2023,ARRESTED",True,indicted
CR-23-678191-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT(PO),NOLLE | INDICT,2903.13.A,ASSAULT (PO),NOLLE | INDICT,2903.13.A,ASSAULT (PO),NOLLE | INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.13.A(03),FALSIFICATION,PLD GLTY- N/C - IND @ P/T","05/20/2024,PV HELD | 02/07/2023,INDICTED BINDOVER | 02/01/2023,FIRST APPEARANCE | 01/31/2023,CPD EDC SET | 01/30/2023,BINDOVER CIF#CI237853AO | 01/28/2023,ARRESTED",True,indicted
CR-23-678204-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT (PO),PLD GLTY- N/C - IND @ P/T | INDICT,2903.13.A,ASSAULT,PLD GLTY- N/C - IND @ P/T | INDICT,2903.13.A,ASSAULT,DISMISS P/T | INDICT,2903.21.A,AGGRAVATED MENACING,DISMISS P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISMISS P/T","11/15/2023,PRETRIAL HELD | 08/22/2023,PRETRIAL HELD | 08/09/2023,PRETRIAL HELD | 07/27/2023,PRETRIAL HELD | 06/28/2023,PRETRIAL HELD | 06/22/2023,PRETRIAL HELD | 06/07/2023,PRETRIAL HELD | 05/24/2023,PRETRIAL HELD | 05/09/2023,PRETRIAL HELD | 04/26/2023,PRETRIAL HELD | 04/13/2023,PRETRIAL HELD | 03/30/2023,PRETRIAL HELD | 03/13/2023,PRETRIAL HELD | 02/07/2023,INDICTED ORIGINAL | 01/28/2023,ARRESTE",True,indicted
CR-23-678224-A,2023_cases_comprehensive.csv,"INDICT,2921.331.B,""ATTEMPTED, FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.12.A(1),TAMPERING WITH EVIDENCE,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","03/21/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/08/2023,INDICTED BINDOVER | 01/26/2023,BINDOVER CIF#CI234791BQ",True,indicted
CR-23-678241-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RSP - MV,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","05/02/2023,PRETRIAL HELD | 02/07/2023,INDICTED BINDOVER | 01/31/2023,BINDOVER CIF#CI234789BQ | 01/29/2023,ARRESTED",True,indicted
CR-23-678270-A,2023_cases_comprehensive.csv,"INDICT,2911.01.A(1),AGGRAVATED ROBBERY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2911.02.A(1),ROBBERY,NOLLE | INDICT,2911.02.A(2),ROBBERY,NOLLE | INDICT,2911.02.A(3),ROBBERY,NOLLE | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2921.12.A(1),TAMPERING WITH EVIDENCE,NOLLE | INDICT,2913.02.A(4),ATTEMPTED GRAND THEFT,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFI","04/19/2023,FINAL PRETRIAL HELD | 04/11/2023,PRETRIAL HELD | 03/23/2023,PRETRIAL HELD | 03/02/2023,PRETRIAL HELD | 02/07/2023,INDICTED BINDOVER | 02/01/2023,BINDOVER CIF#CI234872BQ | 10/22/2022,ARRESTED",True,indicted
CR-23-678384-A,2023_cases_comprehensive.csv,"INDICT,2919.22.B(1),ENDANGERING CHILDREN,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2905.01.A(5),KIDNAPPING,NOLLE | INDICT,2919.22.A,ENDANGERING CHILDREN,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","09/17/2024,PV HELD | 07/08/2024,PV HELD | 10/30/2023,PV HELD | 05/31/2023,PRETRIAL HELD | 05/15/2023,PRETRIAL HELD | 05/03/2023,PRETRIAL HELD | 04/26/2023,PRETRIAL HELD | 04/03/2023,PRETRIAL HELD | 03/20/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/06/2023,INDICTED ORIGINAL",True,indicted
CR-23-678430-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,NOLLE | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NO","03/29/2023,PRETRIAL HELD | 03/15/2023,PRETRIAL HELD | 02/27/2023,INDICTED BINDOVER | 02/09/2023,FIRST APPEARANCE | 02/08/2023,CPD EDC SET | 02/06/2023,ARRESTED | 02/06/2023,BINDOVER CIF#CI235045BQ",True,indicted
CR-23-678450-A,2023_cases_comprehensive.csv,"INDICT,2911.12.B,""ATTEMPTED, BURGLARY"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.21.A,AGGRAVATED MENACING,PLD GLTY- N/C - IND @ P/T","02/22/2023,PRETRIAL HELD | 02/14/2023,INDICTED ORIGINAL | 02/06/2023,ARRESTED",True,indicted
CR-23-678482-A,2023_cases_comprehensive.csv,"INDICT,2913.02.A(1),GRAND THEFT,PLD GLTY- N/C - IND @ P/T | INDICT,2911.21.A(1),CRIMINAL TRESPASS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.24.A,POSSESSING CRIMINAL TOOLS,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","12/06/2023,FINAL PRETRIAL HELD | 11/29/2023,FINAL PRETRIAL HELD | 11/02/2023,PRETRIAL HELD | 10/23/2023,PRETRIAL HELD | 10/12/2023,PRETRIAL HELD | 05/03/2023,PRETRIAL HELD | 04/17/2023,PRETRIAL HELD | 04/03/2023,PRETRIAL HELD | 02/21/2023,INDICTED BINDOVER | 02/10/2023,CPD EDC SET | 02/09/2023,BINDOVER CIF#CI237978AO | 02/06/2023,ARRESTED",True,indicted
