case_number,source_file,charges,events
CR-23-677708-A,2023_cases_comprehensive.csv,"INDICT,2903.11,FELONIOUS ASSAULT,DISM OTHER","01/23/2023,CASE DISMISSED"
CR-23-677725-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2909.06.A(1),CRIMINAL DAMAGING,DISM OTHER","02/25/2025,CASE DISMISSED | 01/06/2025,PRETRIAL HELD | 12/23/2024,PRETRIAL HELD | 12/12/2024,PRETRIAL HELD | 11/25/2024,PRETRIAL HELD | 11/13/2024,PRETRIAL HELD | 10/29/2024,PRETRIAL HELD | 01/23/2023,INDICTED ORIGINAL"
CR-23-677731-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T | INDICT,2919.22.A,ENDANGERING CHILDREN,PLD GLTY- N/C - IND @ P/T | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T | INDICT,2903.21.A,AGGRAVATED MENACING,NOLLE","12/17/2024,PV HELD | 06/26/2024,PV HELD | 12/20/2023,PV HELD | 05/09/2023,PRETRIAL HELD | 04/19/2023,PRETRIAL HELD | 04/03/2023,PRETRIAL HELD | 03/16/2023,PRETRIAL HELD | 03/02/2023,PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 01/20/2023,INDICTED ORIGINAL"
CR-23-677737-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2923.162.A(3),DISCHARGE OF FIREARM ON OR NEAR PROHIBITED PREMISES,DISM OTHER | INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,DISM OTHER | INDICT,2903.21.A,AGGRAVATED MENACING,DISM OTHER","11/18/2024,CASE DISMISSED | 11/12/2024,PRETRIAL HELD | 10/10/2024,PRETRIAL HELD | 08/29/2024,PRETRIAL HELD | 08/06/2024,PRETRIAL HELD | 07/31/2024,PRETRIAL HELD | 02/01/2023,INDICTED ORIGINAL"
CR-23-677739-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2905.01.B(1),KIDNAPPING,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2911.01.A(1),AGGRAVATED ROBBERY,NOLLE | INDICT,2911.02.A(2),ROBBERY,NOLLE","05/30/2023,PRETRIAL HELD | 03/01/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/18/2023,FIRST APPEARANCE | 01/17/2023,CPD EDC SET | 01/14/2023,BINDOVER CIF#CI235700AO | 01/13/2023,ARRESTED"
CR-23-677757-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),PLD GLTY- N/C - IND @ P/T | INDICT,2919.22.A,ENDANGERING CHILDREN (PC),NOLLE | INDICT,2919.22.A,ENDANGERING CHILDREN (PC),NOLLE","02/16/2023,PRETRIAL HELD | 02/01/2023,PRETRIAL HELD | 01/23/2023,INDICTED ORIGINAL | 01/12/2023,ARRESTED"
CR-23-677765-A,2023_cases_comprehensive.csv,"INDICT,2903.01.A,AGGRAVATED MURDER,FND N/GLTY - JURY | INDICT,2903.02.A,MURDER,FND GLTY - JURY | INDICT,2903.02.B,MURDER,FND GLTY - JURY | INDICT,2903.11.A(1),FELONIOUS ASSAULT,FND GLTY - JURY | INDICT,2903.11.A(2),FELONIOUS ASSAULT,FND GLTY - JURY | INDICT,2903.02.A,""ATTEMPTED, MURDER"",FND N/GLTY - JURY | INDICT,2903.11.A(1),FELONIOUS ASSAULT,FND GLTY - JURY | INDICT,2903.11.A(2),FELONIOUS ASSAUL","01/16/2024,PRETRIAL HELD | 01/04/2024,PRETRIAL HELD | 12/11/2023,PRETRIAL HELD | 11/29/2023,PRETRIAL HELD | 11/06/2023,PRETRIAL HELD | 10/26/2023,PRETRIAL HELD | 10/19/2023,PRETRIAL HELD | 09/13/2023,PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 08/24/2023,PRETRIAL HELD | 08/17/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 07/20/2023,PRETRIAL HELD | 07/06/2023,PRETRIAL HELD | 06/20/2023,PRETRIAL HE"
CR-23-677770-A,2023_cases_comprehensive.csv,"INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.B,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.B,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER | INDICT,2903.02.B,MURDER,DISM OTHER | INDICT,2903.02.B,MURDER,DISM OTHER | INDICT,2903.02.B,MURDER,DISM OTHER | INDICT,2903.02.B,MURDER","07/24/2023,CASE DISMISSED | 01/23/2023,INDICTED ORIGINAL | 01/12/2023,ARRESTED"
CR-23-677777-A,2023_cases_comprehensive.csv,"INDICT,2903.02.A,""ATTEMPTED, MURDER"",DISM OTHER | INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER","07/20/2023,CASE DISMISSED | 04/19/2023,PRETRIAL HELD | 04/12/2023,PRETRIAL HELD | 04/05/2023,PRETRIAL HELD | 03/22/2023,PRETRIAL HELD | 03/07/2023,PRETRIAL HELD | 02/13/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/19/2023,FIRST APPEARANCE | 01/18/2023,CPD EDC SET | 01/17/2023,BINDOVER CIF#CI234207BQ | 01/14/2023,ARRESTED"
CR-23-677780-A,2023_cases_comprehensive.csv,"INDICT,2911.11.A(2),AGGRAVATED BURGLARY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(1),FELONIOUS ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T","03/23/2023,PRETRIAL HELD | 02/28/2023,PRETRIAL HELD | 02/21/2023,PRETRIAL HELD | 02/06/2023,PRETRIAL HELD | 01/30/2023,PRETRIAL HELD | 01/23/2023,INDICTED BINDOVER | 01/19/2023,FIRST APPEARANCE | 01/18/2023,CPD EDC SET | 01/17/2023,BINDOVER CIF#CI237473AO | 01/14/2023,ARRESTED"
